"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_copyBuffer.kd",2,0,0,2033096,2033096,155648,512,0,0,16,0,32,64,"0x0","0x7f50a7abb600",3599977333751882,3599977333839958,3599977333845531,3599977333922788,5573
1,"__amd_rocclr_copyBuffer.kd",2,0,2,2033096,2033096,155648,512,0,0,16,0,32,64,"0x0","0x7f50a7abb600",3599977333887436,3599977333897610,3599977334094740,3599977334205392,197130
2,"__amd_rocclr_copyBuffer.kd",2,0,4,2033096,2033096,155648,512,0,0,16,0,32,64,"0x0","0x7f50a7abb600",3599977334125867,3599977334203468,3599977334434837,3599977334598997,231369
3,"__amd_rocclr_copyBuffer.kd",2,0,7,2033096,2033096,512,512,0,0,16,0,32,64,"0x7f50a79fe280","0x7f50a7abb600",3599977412837182,3599977412859733,3599977412865907,3599977412875356,6174
4,"void thrust::THRUST_200805_400200_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, 1u>(thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",2,0,8,2033096,2033096,1139968,256,0,0,4,4,16,64,"0x0","0x7f50948e7880",3599977412881407,3599977412952705,3599977412957115,3599977412958155,4410
5,"void thrust::THRUST_200805_400200_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, 1u>(thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",2,0,10,2033096,2033096,1139968,256,0,0,4,4,16,64,"0x0","0x7f50948e7880",3599977413017167,3599977413028999,3599977413033570,3599977413033427,4571
6,"void thrust::THRUST_200805_400200_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200805_400200_NS::hip_rocprim::__fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, long, 1u>(thrust::THRUST_200805_400200_NS::hip_rocprim::__fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, long, long) [clone .kd]",2,0,12,2033096,2033096,1139968,256,0,0,4,4,16,64,"0x0","0x7f50948e7900",3599977413056192,3599977413065843,3599977413070053,3599977413069741,4210
7,"void thrust::THRUST_200805_400200_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200805_400200_NS::hip_rocprim::__fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, long, 1u>(thrust::THRUST_200805_400200_NS::hip_rocprim::__fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, long, long) [clone .kd]",2,0,14,2033096,2033096,256,256,0,0,4,4,16,64,"0x0","0x7f50948e7900",3599977413078347,3599977413086892,3599977413089016,3599977413089840,2124
8,"void thrust::THRUST_200805_400200_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, 1u>(thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",2,0,16,2033096,2033096,1139968,256,0,0,4,4,16,64,"0x0","0x7f50948e7880",3599977413114473,3599977413123014,3599977413127424,3599977413127709,4410
9,"void thrust::THRUST_200805_400200_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, 1u>(thrust::THRUST_200805_400200_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200805_400200_NS::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",2,0,18,2033096,2033096,256,256,0,0,4,4,16,64,"0x0","0x7f50948e7880",3599977413573432,3599977413588238,3599977413589481,3599977413589715,1243
